"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38048","Verify Message visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:01:22 GMT+05:30 2025","passed","Mon Oct 13 08:02:00 GMT+05:30 2025","Verify Dashboard Functionality > Verify Dashboard Widgets : Messages","Dashboard.spec.js","",""
"","40020","Verify Bookmark : ""Productivity / Performance Dashboard"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:30:02 GMT+05:30 2025","passed","Mon Oct 13 08:30:42 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Productivity / Performance Dashboard","Dashboard.spec.js","",""
"","40723","Verify Bookmark : ""Admit to Bed"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:12:21 GMT+05:30 2025","passed","Mon Oct 13 08:13:01 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Admit to Bed","Dashboard.spec.js","",""
"","39720","Verify Bookmark : ""Habilitation Tracker"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:23:37 GMT+05:30 2025","passed","Mon Oct 13 08:24:17 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Habilitation Tracker","Dashboard.spec.js","",""
"","31776","Verify En.List visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 07:57:20 GMT+05:30 2025","passed","Mon Oct 13 07:57:51 GMT+05:30 2025","Verify Dashboard Functionality > Verify Dashboard Shortcut : En.List","Dashboard.spec.js","",""
"","924","Verify LoggedIn Practice","Dashboard","Mon Oct 13 07:56:10 GMT+05:30 2025","passed","Mon Oct 13 07:56:11 GMT+05:30 2025","Verify Dashboard Functionality","Dashboard.spec.js","",""
"","40112","Verify Bookmark : ""Grant Management"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:22:55 GMT+05:30 2025","passed","Mon Oct 13 08:23:35 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Grant Management","Dashboard.spec.js","",""
"","39647","Verify Bookmark : ""Case Load"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:17:16 GMT+05:30 2025","passed","Mon Oct 13 08:17:56 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Case Load","Dashboard.spec.js","",""
"","40351","Verify Bookmark : ""My Offline Preferences"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:08:48 GMT+05:30 2025","passed","Mon Oct 13 08:09:29 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : My Offline Preferences","Dashboard.spec.js","",""
"","40097","Verify Bookmark : ""Treatment Plan Letter"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:37:09 GMT+05:30 2025","passed","Mon Oct 13 08:37:49 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Treatment Plan Letter","Dashboard.spec.js","",""
"","39783","Verify Bookmark : ""Message"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:26:27 GMT+05:30 2025","passed","Mon Oct 13 08:27:06 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Message","Dashboard.spec.js","",""
"","39801","Verify Bookmark : ""Quick Patient Registration"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:31:27 GMT+05:30 2025","passed","Mon Oct 13 08:32:06 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Quick Patient Registration","Dashboard.spec.js","",""
"","32284","Verify Alert visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:00:09 GMT+05:30 2025","passed","Mon Oct 13 08:00:41 GMT+05:30 2025","Verify Dashboard Functionality > Verify Dashboard Shortcut : Alert","Dashboard.spec.js","",""
"","40009","Verify Bookmark : ""Checked in Appointments"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:17:58 GMT+05:30 2025","passed","Mon Oct 13 08:18:38 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Checked in Appointments","Dashboard.spec.js","",""
"","40348","Verify Bookmark : ""Scheduler Setup"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:34:17 GMT+05:30 2025","passed","Mon Oct 13 08:34:57 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Scheduler Setup","Dashboard.spec.js","",""
"","40478","Verify Bookmark : ""Patient Performance Dashboard"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:27:51 GMT+05:30 2025","passed","Mon Oct 13 08:28:31 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Patient Performance Dashboard","Dashboard.spec.js","",""
"","36800","Verify Visit Overview visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:03:22 GMT+05:30 2025","passed","Mon Oct 13 08:03:58 GMT+05:30 2025","Verify Dashboard Functionality > Verify Dashboard Widgets : Visit Overview","Dashboard.spec.js","",""
"","39498","Verify AppointmentRequests visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:02:02 GMT+05:30 2025","passed","Mon Oct 13 08:02:41 GMT+05:30 2025","Verify Dashboard Functionality > Verify Dashboard Widgets : Appointment Requests","Dashboard.spec.js","",""
